County_FIPS,Customers
28143,3630
28145,7351
28147,6910
28149,22742
28151,25115
28153,10874
28155,5545
28157,4817
28159,13238
28161,7274
28163,10785
29001,12158
29003,3774
29005,2620
29007,11963
29009,15070
29011,4120
29013,4227
29015,6716
29017,5897
29019,121913
29021,22707
29023,33933
29025,3643
29027,28884
29029,19007
29031,34407
29033,2981
29035,3796
29037,32470
29039,8461
29041,2603
29043,22569
29045,4000
29047,96031
29049,9383
29051,39963
29053,7941
29055,7305
29057,2505
29059,5897
29061,2908
29063,4865
29065,4781
29067,5733
29069,19180
29071,46672
29073,6636
29075,1088
29077,164114
29079,7058
29081,4010
29083,6221
29085,2972
29087,1600
29089,4125
29091,23483
29093,5709
29095,202364
29097,14537
29099,108266
29101,19137
29103,2220
29105,21648
29107,10521
29109,9841
29111,6054
29113,24425
29115,4038
29117,8648
29119,177579
29121,8853
29123,8568
29125,3269
29127,13104
29129,1937
29131,12538
29133,5838
29135,7207
29137,3068
29139,5285
29141,10004
29143,9169
29145,12246
29147,5492
29149,4069
29151,5974
29153,4000
29155,7582
29157,11694
29159,14790
29161,22129
29163,8194
29165,38960
29167,11719
29169,26191
29171,1238
29173,5206
29175,11253
29177,8116
29179,4024
29181,7306
29183,181803
29185,3837
29186,10464
29187,32639
29189,594469
29195,12349
29197,1531
29199,1563
29201,24731
29203,3195
29205,2485
29207,17220
29209,5816
29211,1796
29213,29207
29215,8217
29217,5584
29219,14348
29221,10163
29223,7134
29225,12849
29227,418
29229,7683
29510,106898
30001,3612
30003,6865
30005,2740
30007,1412
30009,6512
30011,508
30013,39166
30015,1959
30017,6942
30019,429
30021,7435
30023,6663
30025,2280
30027,5384
30029,65575
30031,96603
30033,1613
30035,12671
30037,316
30039,2293
30041,7876
30043,5322
30045,1006
30047,24041
30049,32887
30051,804
30053,12721
30055,2179
30057,6199
30059,513
30061,2455
30063,57348
30065,2362
30067,8763
30069,265
30071,1992
30073,2031
30075,583
30077,4506
30079,758
30081,25043
30083,9805
30085,7252
30087,4647
30089,7314
30091,1766
30093,24074
30095,5383
30097,1993
30099,2050
30101,3546
30103,548
30105,3912
30107,705
30109,675
30111,77606
31001,20998
31003,3462
31005,166
31007,622
31009,357
31011,2481
31013,8277
31015,1340
31017,3604
31019,35218
31021,3574
31023,6787
31025,12382
31027,5363
31029,2452
31031,4043
31033,9606
31035,4226
31037,6814
31039,5459
31041,10246
31043,17046
31045,5555
31047,12044
31049,1065
31051,1074
31053,26026
31055,261904
31057,1046
31059,3217
31061,852
31063,1500
31065,3205
31067,8494
31069,1392
31071,1798
31073,804
31075,251
31077,1325
31079,38623
31081,4863
31083,2690
31085,1082
31087,3392
31089,8581
31091,653
31093,4588
31095,3690
31097,2243
31099,3115
31101,7643
31103,686
31105,2487
31107,7968
31109,165006
31111,23525
31113,489
31115,435
31117,213
31119,21864
31121,3869
31123,3740
31125,1437
31127,2736
31129,2710
31131,9649
31133,1271
31135,1727
31137,6119
31139,3197
31141,16729
31143,4253
31145,8983
31147,5162
31149,1374
31151,4407
31153,77047
31155,10400
31157,21716
31159,5805
31161,3062
31163,2413
31165,143
31167,3812
31169,1346
31171,580
31173,3240
31175,3574
31177,8327
31179,4484
31181,2418
31183,514
31185,10586
32001,12212
32003,1008802
32005,24125
32007,7290
32009,334
32011,1938
32013,9456
32015,2984
32019,28135
32021,2219
32023,26896
32027,2671
32029,6273
32031,244311
32033,5695
32510,30607
33001,32434
33003,26009
33005,36014
33007,24038
33009,49895
33011,196402
33013,115899
33015,154048
33017,89738
33019,20079
34001,167221
34003,418357
34005,208513
34007,243254
34009,56097
34011,82843
34013,386888
34015,162737
34017,299572
34019,66967
34021,193667
34023,406721
34025,345701
34027,112181
34029,327289
34031,119763
34033,36572
34035,172530
34037,47606
34039,259708
34041,55613
35001,364403
35003,2458
35005,46338
35006,5721
35007,5878
35009,33327
35011,405
35013,101930
35015,28539
35017,15355
35019,1548
35021,213
35023,2651
35025,46964
35027,8967
35028,11401
35029,16018
35031,18739
35033,2065
35035,18452
35037,4683
35039,7029
35041,14808
35043,60725
35045,60294
35047,11786
35049,78870
35051,2974
35053,9451
35055,28790
35057,6851
35059,418
35061,35686
36001,185574
36003,27503
36005,479084
36007,113772
36009,24980
36011,40433
36013,49280
36015,45622
36017,25004
36019,44965
36021,30817
36023,23943
36025,23975
36027,150017
36029,521085
36031,23389
36033,23669
36035,26643
36037,29240
36039,23513
36041,2561
36043,27865
36045,62240
36047,915206
36049,12631
36051,33457
36053,34017
36055,302455
36057,24995
36059,427483
36061,873185
36063,106178
36065,120802
36067,134654
36069,75985
36071,176531
36073,20376
36075,57759
36077,31300
36079,47493
36081,847158
36083,80326
36085,166680
36087,133071
36089,57536
36091,117711
36093,78627
36095,14522
36097,4852
36099,17541
36101,27662
36103,657677
36105,40509
36107,24210
36109,63720
36111,89470
36113,36391
36115,29152
36117,55917
36119,368730
36121,21392
36123,12531
37001,925
37003,6903
37005,7617
37007,6334
37009,17506
37011,18986
37013,19720
37015,10165
37017,11706
37019,82037
37021,32499
37023,19746
37025,36290
37027,43296
37029,6187
37031,39432
37033,1905
37035,8165
37037,3797
37039,16160
37041,12047
37043,9637
37045,18853
37047,22736
37049,35033
37051,93841
37053,17795
37055,23623
37057,37592
37059,8950
37061,9258
37063,6008
37065,19560
37067,27915
37069,27296
37071,47215
37073,5460
37077,6395
37079,5487
37081,41756
37083,28826
37085,22060
37089,24
37091,14012
37093,12912
37095,700
37097,35197
37101,13828
37103,2265
37105,13067
37107,15148
37109,25563
37111,12442
37115,2231
37117,13275
37119,28172
37121,1696
37123,5038
37125,5708
37127,26243
37129,2544
37131,6048
37133,77669
37135,19163
37137,1811
37139,34122
37141,14750
37143,7907
37145,5498
37147,80606
37149,5215
37151,31255
37153,12592
37155,60455
37157,9416
37159,16951
37161,7084
37163,19420
37165,10518
37167,26968
37169,6242
37171,10853
37177,1979
37179,65408
37181,863
37183,46622
37185,3813
37187,4062
37189,18248
37191,18042
37193,8042
37195,35644
37197,5364
37199,2023
38001,1902
38003,7694
38005,2086
38007,622
38009,5131
38011,2623
38013,1180
38015,57076
38017,124603
38019,928
38021,2595
38023,893
38025,4300
38027,814
38029,3111
38031,1325
38033,1324
38035,39992
38037,1221
38039,786
38041,1966
38043,1472
38045,2058
38047,1244
38049,3351
38051,2180
38053,14655
38055,7334
38057,6015
38059,19085
38061,4771
38063,1239
38065,1231
38067,2474
38069,1560
38071,4176
38073,2772
38075,1606
38077,5021
38079,7336
38081,1900
38083,641
38085,2559
38087,467
38089,23614
38091,557
38093,8427
38095,755
38097,4104
38099,3713
38101,51522
38103,1448
38105,15516
39001,16880
39003,32124
39005,33664
39007,72318
39009,44829
39011,19905
39013,44590
39015,20209
39017,127599
39019,19182
39021,14989
39023,83871
39025,91802
39027,22649
39029,63181
39031,20361
39033,28875
39035,602248
39037,16124
39039,13228
39041,64488
39043,50780
39045,86733
39047,14964
39049,362081
39051,10239
39053,18457
39055,65221
39057,92645
39059,27110
39061,437530
39063,38464
39065,18254
39067,9190
39069,12422
39071,27822
39073,17905
39075,30291
39077,37091
39079,21501
39081,44919
39083,41371
39085,80577
39087,37176
39089,117187
